PO Number	UPC	Model	ASIN	Description	Sugested Retail	Discount	Cost	Qty Ordered	Qty Confirmed	Delivery beguin date	End Delivery date	Type	Max Delivery Date	Availability/Comment	Error del intento anterior de carga	Vendor Code	DC Delivery	Identificador de consolidación	Condition	PO Date	Freight Term	Payment Method	Special Instructions	Comments	Legal entity identifier	Currency code	External identifier type	Quantity of products per package	Added quantity	Seller Customer ID	Seller SKU List
16TWUSTR	041969368633	380224.4141.04.S	B008M0V5UO	Mizuno 380224.4141.04.S MBH200 MVP G2 Fitted Batter's Helmet, Forest, 6 3/4-7-Inch	MXN 915.00	0%	MXN 915.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969368831	380224.9090.04.S	B008M0VGSK	Mizuno 380224.9090.04.S MBH200 MVP G2 Fitted Batter's Helmet, Black, 6 3/4-7-Inch	MXN 915.00	0%	MXN 915.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969401019	380234.9090.01.0000	B008M1IVFU	Mizuno 380234.9090.01.0000 MFM600 Baseball Batter's Face Mask, Black	MXN 345.00	0%	MXN 345.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	714195080340	12973001	B008S8T46M	Schutt 12973001 Posavasos Equipos MLB, Coaster Anaheim Angels, Multicolor, Talla Única, Juego de 4	MXN 515.92	17%	MXN 429.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	R2 - Cancelled: Invalid product information		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	714195082146	12973024	B008S8U3GM	Schutt 12973024 Posavasos Equipos MLB, Coaster Cincinnati Reds, Multicolor, Talla Única, Juego de 4	MXN 515.92	17%	MXN 429.00	2	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	R2 - Cancelled: Invalid product information		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	772259362221	PRO-TC20-06	B00AATWDWO	SKLZ PRO-TC20-06 Liga Training Cable 20 LB	MXN 131.03	17%	MXN 109.00	6	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	R2 - Cancelled: Invalid product information		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	772259362276	PRO-TC80-06	B00AATWEOQ	SKLZ Pro-Grade Liga Training Cable 80 Lb	MXN 219.83	17%	MXN 183.00	6	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	R2 - Cancelled: Invalid product information		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969460344	311899.RG8D.12.1175	B00DJPIQZE	Mizuno 311899.RG8D.12.1175 Global Elite VOP Right Handed Throw Baseball Fielders Mitt, Caramel, 11.75-Inch	MXN 8,349.00	0%	MXN 8,349.00	1	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969458952	311914.FR90.13.1200	B00DJPUA76	Mizuno 311914.FR90.13.1200 Global Elite Left Handed Throw Fastpitch Fielders Mitt, Black, 12.00-Inch	MXN 6,189.00	0%	MXN 6,189.00	1	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969479629	350386.0000.05.M	B00EPF5BYQ	Mizuno 350386.0000.05.M Pantalón Pro Premier G2, Blanco, M	MXN 1,019.00	0%	MXN 1,019.00	1	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
