KeyMonth	calendar_date	Country	Key	Local	ownerships	GCS NGK	GCS Counter 	GAP Capacity 20	GAP Capacity 30	Installed Capacity 20	Installed Capacity 30	Category	Classification Number	Screen Cases	Classification	Screens	Counter Participation	NGK Participation	Annual Ranking	Performance	Total GCS	Type of Store	Special Day Hour Order	Daypart Hour Description	Ownerships Order	RankingMonth	Year	Quarter	Month	Day
URUGUAY-NC2-01/07/2023	13/7/2023 00:00	URUGUAY	URUGUAY-NC2	NC2	A	51	62	-29	-69	80	120	Between 10 and 15 GCs	4	with GCs and Screens	Locations with Oportunity	4	54,87 %	45,13 %	50	12,75	113	MS	19	18:00 19:00	1	28	2023	Qtr 3	July	1
ECUADOR-DUR-01/07/2023	14/7/2023 00:00	ECUADOR	ECUADOR-DUR	DUR	A	16	9	-44	-74	60	90	Between 5 and 10 GCs	4	with GCs and Screens	Locations with Oportunity	3	36,00 %	64,00 %	372	5,33	25	FS	12	19:00 20:00	1	50	2023	Qtr 3	July	1
ECUADOR-SUR-01/07/2023	14/7/2023 00:00	ECUADOR	ECUADOR-SUR	SUR	A	29	5	-51	-91	80	120	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	4	14,71 %	85,29 %	356	7,25	34	FS	12	19:00 20:00	1	50	2023	Qtr 3	July	1
URUGUAY-MS2-01/07/2023	14/7/2023 00:00	URUGUAY	URUGUAY-MS2	MS2	A	60	24	-20	-60	80	120	Between 10 and 15 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	4	28,57 %	71,43 %	157	15,00	84	FC	17	16:00 17:00	1	50	2023	Qtr 3	July	1
COLOMBIA-ANT-01/07/2023	15/7/2023 00:00	COLOMBIA	COLOMBIA-ANT	ANT	A	36	0	-24	-54	60	90	Between 10 and 15 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	3	0,00 %	100,00 %	326	12,00	36	MS	7	14:00 15:00	1	50	2023	Qtr 3	July	1
PERU-SJL-01/07/2023	15/7/2023 00:00	PERU	PERU-SJL	SJL	A	67	4	-13	-53	80	120	Between 15 and 20 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	4	5,63 %	94,37 %	172	16,75	71	IS	11	18:00 19:00	1	50	2023	Qtr 3	July	1
URUGUAY-MS2-01/07/2023	15/7/2023 00:00	URUGUAY	URUGUAY-MS2	MS2	A	57	37	-23	-63	80	120	Between 10 and 15 GCs	4	with GCs and Screens	Locations with Oportunity	4	39,36 %	60,64 %	50	14,25	94	FC	22	21:00 22:00	1	26	2023	Qtr 3	July	1
URUGUAY-PC2-01/07/2023	15/7/2023 00:00	URUGUAY	URUGUAY-PC2	PC2	A	35	36	-45	-85	80	120	Between 5 and 10 GCs	4	with GCs and Screens	Locations with Oportunity	4	50,70 %	49,30 %	153	8,75	71	FC	21	20:00 21:00	1	50	2023	Qtr 3	July	1
URUGUAY-TRC-01/07/2023	15/7/2023 00:00	URUGUAY	URUGUAY-TRC	TRC	A	92	54	-88	-178	180	270	Between 10 and 15 GCs	4	with GCs and Screens	Locations with Oportunity	9	36,99 %	63,01 %	200	10,22	146	MS	13	12:00 13:00	1	50	2023	Qtr 3	July	1
COLOMBIA-C43-01/07/2023	16/7/2023 00:00	COLOMBIA	COLOMBIA-C43	C43	A	22	10	-98	-158	120	180	Less than 5 GCs	4	with GCs and Screens	Locations with Oportunity	6	31,25 %	68,75 %	356	3,67	32	FS	13	20:00 21:00	1	50	2023	Qtr 3	July	1
