Lifecycle Status,Manufacturer,Part Number,Series,Description,Replacement Part Number,Item #,Bin Location,Installed Quantity,Recommended Spares,Storeroom Quantity,PMA Quantity,P2 Quantity,Stash Quantity,Insufficient Spares,Excess Spares,List Price,Installed Total,Recommended Total,Storeroom Total,PMA Total,P2 Total,Stash Total,Insufficient Total,Excess Total
END OF LIFE,ROCKWELL,20AD034A3AYNANC0,,POWERFLEX 70 AC DRIVE 34 A AT 25 HP 20A,20AD034ANAYNANC0 AND 20-HIM-A6,,,0,0,1,0,0,0,0,1," $	6,809 ", $	-   , $	-   ," $	6,809 ", $	-   , $	-   , $	-   , $	-   ," $	6,809 "
END OF LIFE,ROCKWELL,20AD052A0AYNACC0,,POWERFLEX 70 AC DRIVE 52 A AT 40 HP 20A,NOT AVAILABLE,,,1,1,0,0,0,0,1,0," $	10,630 "," $	10,630 "," $	10,630 ", $	-   , $	-   , $	-   , $	-   ," $	10,630 ", $	-   
END OF LIFE,ROCKWELL,20AD052A0AYNANC0,,POWERFLEX 70 AC DRIVE 52 A AT 40 HP 20A,NOT AVAILABLE,,,5,1,1,0,0,0,0,0," $	9,571 "," $	47,857 "," $	9,571 "," $	9,571 ", $	-   , $	-   , $	-   , $	-   , $	-   
END OF LIFE,ROCKWELL,20AD8P0A0AYNANC0,,POWERFLEX 70 AC DRIVE 8 A AT 5 HP 20A,NOT AVAILABLE,,,1,1,0,0,0,0,1,0," $	2,500 "," $	2,500 "," $	2,500 ", $	-   , $	-   , $	-   , $	-   ," $	2,500 ", $	-   
END OF LIFE,ROCKWELL,20AD8P0A0AYNNNC0,,POWERFLEX 70 AC DRIVE 8 A AT 5 HP 20A,NOT AVAILABLE,,,1,1,0,0,0,0,1,0," $	2,338 "," $	2,338 "," $	2,338 ", $	-   , $	-   , $	-   , $	-   ," $	2,338 ", $	-   
ACTIVE,ROCKWELL,20B-ENC-1,,POWERFLEX 700 ENCODER INTERFACE KIT,NOT AVAILABLE,,,0,0,1,0,0,0,0,1, $	342 , $	-   , $	-   , $	342 , $	-   , $	-   , $	-   , $	-   , $	342 
ACTIVE,ROCKWELL,20F11ND022AA0NNNNN,,POWERFLEX AIR COOLED 753 AC DRIVE,NOT AVAILABLE,,,2,1,0,0,0,0,1,0," $	3,068 "," $	6,136 "," $	3,068 ", $	-   , $	-   , $	-   , $	-   ," $	3,068 ", $	-   
ACTIVE,ROCKWELL,20F11ND027AA0NNNNN,,POWERFLEX AIR COOLED 753 AC DRIVE,NOT AVAILABLE,,,1,1,0,0,0,0,1,0," $	3,729 "," $	3,729 "," $	3,729 ", $	-   , $	-   , $	-   , $	-   ," $	3,729 ", $	-   
ACTIVE,ROCKWELL,20F11ND034AA0NNNNN,,POWERFLEX AIR COOLED 753 AC DRIVE,NOT AVAILABLE,,,3,1,0,0,0,0,1,0," $	4,673 "," $	14,019 "," $	4,673 ", $	-   , $	-   , $	-   , $	-   ," $	4,673 ", $	-   
ACTIVE,ROCKWELL,20F11ND040AA0NNNNN,,POWERFLEX AIR COOLED 753 AC DRIVE,NOT AVAILABLE,,,4,1,0,0,0,0,1,0," $	5,846 "," $	23,384 "," $	5,846 ", $	-   , $	-   , $	-   , $	-   ," $	5,846 ", $	-   
